Neighborhood,Neighborhood Latitude,Neighborhood Longitude,From Center,Venue,Venue Latitude,Venue Longitude,Venue Category
Glimmen,53.138727100000004,6.6282807,9.794677526280383,Huize Ponsioen,53.14078071897246,6.626303493976593,Bar
Glimmen,53.138727100000004,6.6282807,9.794677526280383,Kidsfirst,53.14254619255406,6.629145020897146,Child Care Service
Haren,53.1709841,6.6061413,5.919206222717707,Italini IJssalon,53.1722941324549,6.604705330148168,Ice Cream Shop
Haren,53.1709841,6.6061413,5.919206222717707,Yugo,53.17316770589948,6.60336612331316,Sushi Restaurant
Haren,53.1709841,6.6061413,5.919206222717707,Action,53.17138628535577,6.605433108175405,Discount Store
Haren,53.1709841,6.6061413,5.919206222717707,Sa Capanna Pizzeria,53.17377125637031,6.601600777750518,Italian Restaurant
Haren,53.1709841,6.6061413,5.919206222717707,HEMA,53.1733316,6.6046252,Department Store
Haren,53.1709841,6.6061413,5.919206222717707,Mediterraneo,53.171531388972205,6.605190474308771,Italian Restaurant
Haren,53.1709841,6.6061413,5.919206222717707,Kruidvat,53.17234754562378,6.604558,Drugstore
Haren,53.1709841,6.6061413,5.919206222717707,Intermezzo Brasserie,53.17338340920643,6.603111684642128,Brasserie
Haren,53.1709841,6.6061413,5.919206222717707,Astoria,53.171793368872514,6.605009931887589,Restaurant
Haren,53.1709841,6.6061413,5.919206222717707,Jumbo,53.17193788,6.60340122,Supermarket
Haren,53.1709841,6.6061413,5.919206222717707,Albert Heijn,53.17306873827425,6.608249367676919,Supermarket
Haren,53.1709841,6.6061413,5.919206222717707,Mediq Apotheek Haren,53.172054391294736,6.6047686032372654,Pharmacy
Haren,53.1709841,6.6061413,5.919206222717707,Bistro Heerlijk,53.172275,6.603653,Bistro
Haren,53.1709841,6.6061413,5.919206222717707,De Bess Visspecialiteiten,53.17231204399586,6.603560537748174,Fish & Chips Shop
Haren,53.1709841,6.6061413,5.919206222717707,EkoPlaza Haren,53.17226522857732,6.602820335127589,Grocery Store
Haren,53.1709841,6.6061413,5.919206222717707,De Bam,53.171537205760295,6.611145541434111,Basketball Court
Haren,53.1709841,6.6061413,5.919206222717707,Bushalte Raadhuisplein,53.17362219786777,6.602473388704932,Bus Stop
Haren,53.1709841,6.6061413,5.919206222717707,ALDI,53.17400302254023,6.610892287459168,Supermarket
Haren,53.1709841,6.6061413,5.919206222717707,Bushalte Hertenlaan,53.167083239867765,6.608965664787602,Bus Stop
Noordlaren,53.120836700000005,6.6667587,12.752556981537184,De Lanteern,53.12079,6.666879,Diner
Noordlaren,53.120836700000005,6.6667587,12.752556981537184,Massagesalon Urut,53.121364,6.665958,Massage Studio
Noordlaren,53.120836700000005,6.6667587,12.752556981537184,"Marathon ""Noordlaren""",53.121485218975685,6.661577126030981,Skating Rink
Noordlaren,53.120836700000005,6.6667587,12.752556981537184,Bouwbedrijf Mark Wieland,53.1172543,6.6681063,Construction & Landscaping
Onnen,53.1576456,6.641260000000001,8.39420072361926,Pensionstal de Onneresch,53.15903,6.63909,Farm
Garmerwolde,53.2474709,6.6486168,6.225807689716152,VV GEO,53.249183,6.64993,Soccer Field
Sint Annen,53.297953799999995,6.665273700000001,10.899902879793393,Beleef Het Noorden,53.297371,6.666605,Bed & Breakfast
Ten Boer,53.2773154,6.6951182000000005,10.652512703186268,Kruidvat,53.276600633068256,6.6974486679721545,Drugstore
Ten Boer,53.2773154,6.6951182000000005,10.652512703186268,Dutch Coral Farm,53.27583,6.694439999999986,Pet Store
Ten Boer,53.2773154,6.6951182000000005,10.652512703186268,Golden City,53.27712564417051,6.69714251565068,Chinese Restaurant
Ten Boer,53.2773154,6.6951182000000005,10.652512703186268,Coop,53.27678288,6.69740765,Supermarket
Ten Boer,53.2773154,6.6951182000000005,10.652512703186268,V.V. Omlandia,53.276509714436465,6.701092476807098,Soccer Field
Ten Boer,53.2773154,6.6951182000000005,10.652512703186268,Restaria De Buren,53.27414566863215,6.698542290707253,Café
Ten Boer,53.2773154,6.6951182000000005,10.652512703186268,Pizzeria La Santa Maria,53.273777656098446,6.6980399331470535,Pizza Place
Ten Boer,53.2773154,6.6951182000000005,10.652512703186268,CV Service Visser,53.27772,6.6878,Construction & Landscaping
Ten Post,53.297212800000004,6.729083599999999,13.795259783668403,Mense Ruiter Orgelmakers BV,53.2959699,6.72865,Music Store
Ten Post,53.297212800000004,6.729083599999999,13.795259783668403,sportvereniging TEO,53.296631,6.732212,Soccer Field
Ten Post,53.297212800000004,6.729083599999999,13.795259783668403,Bouwbedrijf Veninga,53.2994581,6.728131899999999,Construction & Landscaping
Ten Post,53.297212800000004,6.729083599999999,13.795259783668403,Houthandel Reinders,53.295796544753095,6.733099801021173,Furniture / Home Store
Ten Post,53.297212800000004,6.729083599999999,13.795259783668403,Grandcafé Restaurant 'Bij de Molen',53.30014840112918,6.726506629006753,Restaurant
Winneweer,53.31101170000001,6.744325099999999,15.557586261889574,Pedicure en Glas in Lood Penninga,53.31035453810773,6.746938248202653,Arts & Crafts Store
Winneweer,53.31101170000001,6.744325099999999,15.557586261889574,Loonbedrijf Buitenkamp,53.3102212,6.7379945,Business Service
Winneweer,53.31101170000001,6.744325099999999,15.557586261889574,De haan,53.3088421,6.7505663,Pet Store
Woltersum,53.271119299999995,6.7327923,12.39850706472734,Voetbalvereniging Woltersum,53.27119463,6.73091503,Soccer Field
Woltersum,53.271119299999995,6.7327923,12.39850706472734,Eemskanaal ZZ,53.269101482977,6.734447479248047,River
